index,Date,Open,High,Low,Close,Volume
840,5/7/2015,0.4555212,0.4710815,0.4631952,0.0544355,0.0616099
841,5/8/2015,0.4790721,0.4854427,0.4693514,0.0647989,0.060861
842,5/11/2015,0.4822717,0.4869927,0.4890514,0.061326,0.0359391
843,5/12/2015,0.4696778,0.4706146,0.4698439,0.0521478,0.0651302
844,5/13/2015,0.4677431,0.4726875,0.4762843,0.0529471,0.0498358
845,5/14/2015,0.4737146,0.4814275,0.4833876,0.0650469,0.0559071
846,5/15/2015,0.4837786,0.4819318,0.4795424,0.0587765,0.0786304
847,5/18/2015,0.4704405,0.4736213,0.4766442,0.0566404,0.0799159
848,5/19/2015,0.4741052,0.4845276,0.484581,0.0636137,0.0784541
849,5/20/2015,0.482495,0.4887482,0.4844484,0.0662459,0.0569844
850,5/21/2015,0.4814904,0.4904663,0.49015,0.070711,0.0582619
851,5/22/2015,0.485583,0.49112,0.4968366,0.0674035,0.0467881
852,5/26/2015,0.4818067,0.4814275,0.4785952,0.056668,0.0960593
853,5/27/2015,0.4719101,0.4843222,0.4820617,0.0669625,0.0607569
854,5/28/2015,0.4816021,0.4844342,0.4906615,0.0669487,0.0409251
855,5/29/2015,0.4804115,0.4807365,0.4815692,0.0563786,0.1037044
856,6/1/2015,0.4793325,0.4773003,0.4783679,0.0589694,0.0759471
857,6/2/2015,0.4721519,0.4888976,0.4813419,0.0661219,0.0773368
858,6/3/2015,0.4851365,0.4898314,0.4922905,0.0676791,0.068346
859,6/4/2015,0.481137,0.4843969,0.4870056,0.0627041,0.0536804
860,6/5/2015,0.478514,0.478066,0.483596,0.0580599,0.0552783
861,6/8/2015,0.4728588,0.472314,0.4717003,0.0491022,0.0605807
862,6/9/2015,0.4621624,0.4631259,0.4655819,0.0489092,0.0579656
863,6/10/2015,0.4655108,0.4802323,0.4775913,0.0626904,0.0723708
864,6/11/2015,0.4823648,0.4813902,0.4845431,0.0598239,0.0484421
865,6/12/2015,0.4696778,0.4704465,0.4791256,0.0566818,0.0379616
866,6/15/2015,0.4629809,0.4614451,0.4674572,0.0496121,0.0650701
867,6/16/2015,0.463725,0.4639476,0.4704122,0.0509213,0.0426071
868,6/17/2015,0.4655294,0.46645,0.4695408,0.052451,0.0515138
869,6/18/2015,0.4685616,0.4798401,0.480319,0.0627455,0.0730957
870,6/19/2015,0.4801138,0.4800269,0.4845242,0.0626904,0.0755146
871,6/22/2015,0.4845413,0.4902796,0.4930861,0.0647575,0.0497557
872,6/23/2015,0.4846343,0.4860963,0.4887672,0.0679134,0.0476412
873,6/24/2015,0.485304,0.483295,0.4895439,0.0642752,0.0512095
874,6/25/2015,0.4832019,0.4849758,0.4887294,0.0606783,0.0531758
875,6/26/2015,0.4802069,0.4791118,0.4813798,0.0557998,0.084149
876,6/29/2015,0.4574187,0.462024,0.4609032,0.0417844,0.0772887
877,6/30/2015,0.4592976,0.4576167,0.4608274,0.0403925,0.0884782
878,7/1/2015,0.4568978,0.4565709,0.4565275,0.0422254,0.0782179
879,7/2/2015,0.4501079,0.4546286,0.461926,0.0443752,0.049179
880,7/6/2015,0.4471687,0.4557492,0.4579861,0.0436311,0.0509652
881,7/7/2015,0.4539214,0.4574859,0.4507501,0.0466078,0.0636484
882,7/8/2015,0.4500521,0.451043,0.4525117,0.035321,0.0516139
883,7/9/2015,0.4539028,0.4529852,0.4605433,0.0406268,0.073348
884,7/10/2015,0.4597998,0.4694007,0.4703932,0.0536499,0.0780457
885,7/13/2015,0.4720589,0.4965731,0.4833687,0.0762785,0.0880497
886,7/14/2015,0.4978793,0.5315704,0.5104751,0.0963301,0.1296035
887,7/15/2015,0.5227509,0.5327843,0.5295689,0.0951173,0.0711534
888,7/16/2015,0.5320336,0.5592657,0.5451205,0.1221697,0.1906448
889,7/17/2015,0.688072,0.7344202,0.6966586,0.2504444,0.4468162
890,7/20/2015,0.7071211,0.7239808,0.7118313,0.2367873,0.2344013
891,7/21/2015,0.6996242,0.731675,0.7142749,0.2357951,0.1349339
892,7/22/2015,0.7101905,0.7422078,0.7231778,0.2355195,0.1570445
893,7/23/2015,0.7108974,0.7141763,0.6890817,0.2109615,0.1209932
894,7/24/2015,0.6843515,0.6853045,0.6540764,0.182407,0.1448859
895,7/27/2015,0.6359848,0.659402,0.65025,0.187506,0.1068282
896,7/28/2015,0.6579917,0.6566568,0.6555728,0.1885258,0.0688586
897,7/29/2015,0.6504948,0.6576466,0.6543226,0.1939418,0.0627633
898,7/30/2015,0.6527271,0.6611201,0.6531861,0.1948514,0.0587225
899,7/31/2015,0.6552943,0.6568062,0.6597212,0.1852321,0.0680096
900,8/3/2015,0.6440583,0.6570863,0.6594181,0.1929496,0.0519263
901,8/4/2015,0.6497879,0.6603545,0.6628656,0.1902485,0.0593913
902,8/5/2015,0.6607821,0.6847256,0.6742309,0.2102725,0.0931678
903,8/6/2015,0.680631,0.6800941,0.6725072,0.2087565,0.0626632
904,8/7/2015,0.6717576,0.6750518,0.6676959,0.1985861,0.0559071
905,8/10/2015,0.6703624,0.6764711,0.670613,0.1964224,0.0721386
